,username,accident_id,created_at,text,len,source
0,muftimenk,1452791747633979396,2021-10-26 00:18:38+00:00,"Not everyone will be happy for you. Stop sharing news of your blessings with all. Some people can’t handle it &amp; they’ll do what it takes to ruin it. Remember, these people are insecure &amp; feel threatened. Real friends should want the best for you even if you do better than them.",286,Twitter for Android
1,muftimenk,1452616037527076868,2021-10-25 12:40:26+00:00,"Making a choice is not easy at times. Always seek your strength &amp; guidance from the Almighty. Don’t wallow in self-pity. Don’t stand in the midst of fear without trusting Him. Remember, He knows best. He will make it easier to move on. Remember, He has your back.",267,Twitter for Android
2,muftimenk,1452392455421181953,2021-10-24 21:52:00+00:00,"Well done #Pakistan 
Great Win #PakistanCricket

#MashaAllah",60,Twitter for Android
3,muftimenk,1452388751813062657,2021-10-24 21:37:17+00:00,"Your good deeds won’t guarantee you Paradise. So don’t become complacent. There’s no such thing as auto-acceptance from the Almighty. With social media, things get tricky. Are you doing it for Him or for the likes &amp; accolades from people? Examine your heart. Purify your intent.",282,Twitter for Android
4,muftimenk,1452259714318876676,2021-10-24 13:04:32+00:00,"Don’t fall for Satan’s plot. He does not want you to repent at all. But if he fails in his attempt, the next best plan is to delay your repentance. He tries to tell you that it will be easier later on. That’s a lie. The longer you wait, the harder it gets to repent. Don’t delay.",279,Twitter for Android
5,muftimenk,1452148816606638080,2021-10-24 05:43:52+00:00,We tend to think the grass is always greener on the other side. Sadly we usually feel what we have is not good enough. We love comparing; we think we deserve a better life. We become restless. Be careful. The Almighty can remove everything in the blink of an eye. Be grateful.,276,Twitter for Android
6,muftimenk,1452012282003787783,2021-10-23 20:41:19+00:00,"We are in a sad state today. We let society dictate the norms, we become victims of our own desires. We find it easy to please the world. We want to appear great in front of others. What about our Creator? How much are we willing to do to please Him? Let’s get our act together.",278,Twitter for Android
7,muftimenk,1451799726916050944,2021-10-23 06:36:42+00:00,"Knowing what not to say is equally important. We often focus on what we say &amp; forget this part. Don’t feel like you have to respond to everyone &amp; take part in every discussion &amp; argument thrown at you. Often, the best response in many situations is simply to remain silent. Peace.",292,Twitter for Android
8,muftimenk,1451550615839064064,2021-10-22 14:06:49+00:00,"Don’t let them make you believe that loving yourself is selfish. It’s not. It’s necessary. When you love yourself, you have more to offer others. Above all, be yourself. The Almighty has made you in the best possible way and if they don’t like it, they can move on.",265,Twitter for Android
9,muftimenk,1451386019803279395,2021-10-22 03:12:47+00:00,"Almighty. We ask You to purify our hearts. Help us see the positive side of things. There’s so much negativity in the world today. We know You want the best for us. Help us press the reset button of repentance, realizing our need for You always. Keep guiding us. Aameen.",270,Twitter for Android
10,muftimenk,1451308751881846786,2021-10-21 22:05:45+00:00,"You seldom get second chances with humans. Once you’ve messed up, you’re labelled a failure. With the Almighty, it’s completely different. You’ll be given a second, third, fourth chance etc. He’ll always throw you a lifeline. Call on Him &amp; He will lift you out of your misery.",280,Twitter for Android
11,muftimenk,1451095436412870657,2021-10-21 07:58:06+00:00,"If you have friends who will show up when you’re down, you’re blessed. There are too many fair-weather friends in this world. Remember, not everyone has the capacity and will to be present when you’re not shining. It takes a special heart to do that.",250,Twitter for Android
12,muftimenk,1450918208232427525,2021-10-20 20:13:52+00:00,Things didn’t work out because you were under the Almighty’s Divine Protection. Understand His Plan. Yet half the time we pine for what’s over and gone and refuse to accept that He did it in our best interest. He always does.,225,Twitter for Android
13,muftimenk,1450739852333436932,2021-10-20 08:25:08+00:00,Let people assume whatever they want about you. You’re not responsible for their assumptions and whatever else they think they know about you and who you’re supposed to be. You can’t stop them anyway. It has nothing to do with who you really are. Just live.,257,Twitter for Android
14,muftimenk,1450596257034952706,2021-10-19 22:54:33+00:00,"When you pray, pray with confidence. Don’t let circumstances intimidate you. Don’t give up. You’re asking the Lord of the Worlds. Nothing is impossible for Him. Your prayers will be answered according to His timing. Keep praying.",229,Twitter for Android
15,muftimenk,1450373169588621313,2021-10-19 08:08:04+00:00,"When you put your full trust in the Almighty and refuse to give up, you’ll achieve what you set out to do. Persistent faith will lead you to success in this world and the next. It doesn’t mean everything is perfect but you press on because you know that He wants the best for you.",280,Twitter for Android
16,muftimenk,1450199579400540164,2021-10-18 20:38:17+00:00,The Almighty has planned it all for your good. He has a master plan for your life. There may be things you don’t understand right now but do not worry. All the pieces are not in place yet. One day it will all come together and everything will make sense. Keep trusting Him.,273,Twitter for Android
17,muftimenk,1450087188276957189,2021-10-18 13:11:41+00:00,Attention and recognition are what some crave. They love being controversial. They love making headlines and being in the limelight. Be careful. Think of the consequences when you’re alone in your grave or worse having to defend yourself before your Creator on Judgement Day.,275,Twitter for Android
18,muftimenk,1449972692648710147,2021-10-18 05:36:43+00:00,Do you find yourself being tested again and again even though you’re doing all that the Almighty has asked of you? Don’t fret. Know that your trials are a blessing not a punishment. He loves you and sends the toughest tests to his best soldiers. Endure with beautiful patience.,277,Twitter for Android
19,muftimenk,1449804465582886913,2021-10-17 18:28:15+00:00,"Be proactive in your journey called life. No matter how long you’ve been walking down the road, once you see a dead end, a roadblock, a no entry sign, give yourself permission to turn around. You’re never stuck if you stay connected to the Almighty. He will always find a way out!",280,Twitter for Android
20,muftimenk,1449673128507056129,2021-10-17 09:46:22+00:00,"Do you have someone who always finds fault or advises you about your life, job, habits, etc? But the person never follows his own advice. Some have an agenda and can hurt your self-confidence badly. Don’t give your time to deceitful people pretending to be what they’re not.",274,Twitter for Android
21,muftimenk,1449441140416131075,2021-10-16 18:24:31+00:00,You were waiting for that apology but it never came. And that is okay. Don’t focus on it. Let it go. Don’t let it consume you. Let the Almighty take care of things. Healing begins when you can accept that and move on with peace in your heart.,242,Twitter for Android
22,muftimenk,1449328696591101954,2021-10-16 10:57:43+00:00,"It’s wrong to assume that the ones who are quiet are empty, blank with nothing to offer. They might be busy reflecting, observing etc. They’d rather watch the drama from the sidelines. Silence has its merits so when it’s time to speak up, they will. Give people some credit.",274,Twitter for Android
23,muftimenk,1449215531408580610,2021-10-16 03:28:02+00:00,"Don't allow your circumstances to dictate your feelings. When you accept the Almighty’s Decree fully, you have the right attitude towards difficulties and trials. You accept there’s good in everything eventually. You’re able to walk firmly &amp; steadily. You have firm faith in Him.",283,Twitter for Android
24,muftimenk,1449054149887336460,2021-10-15 16:46:46+00:00,"Be mindful of the one who pretends to be your best friend, only to turn around and betray you, spreading lies, untruths and hurtful gossip about you. Whatever the reason behind this behavior, it's important to protect yourself from it. Stay away from such people. Pray for them!",278,Twitter for Android
25,muftimenk,1448853904633049108,2021-10-15 03:31:03+00:00,"Almighty. There’s so much going on in the world around us. We beg You to help everyone who’s going through pain &amp; hardship in life. Many feel broken. May You grant ease, remove all obstacles &amp; guide us all out of difficulty. Make us completely dependent on You and You alone.",283,Twitter for Android
26,muftimenk,1448771919868833799,2021-10-14 22:05:17+00:00,Don't you dare give up because you’re tired of waiting. How could you? Have you forgotten the Almighty’s promise? He won’t burden you with that which you have no ability to bear. Trust Him. He’s in full control &amp; watching over you. Keep going; your breakthrough is in sight.,278,Twitter for Android
27,muftimenk,1448632941177933832,2021-10-14 12:53:02+00:00,"Do you often wonder, “why does this keep happening to me?” Perhaps it’s time for self-reflection. Perhaps the same behavioural patterns are giving you the same, unwanted results. Perhaps, the Almighty wants you to learn the lesson before He elevates you to the next level.",272,Twitter for Android
28,muftimenk,1448495099512557571,2021-10-14 03:45:18+00:00,"Leave people better than when you found them. Smile, lend a helping hand, use good words; do what it takes. Go out of your way if possible. They will remember you long after you left them. Such is the ripple effect of doing good. Never belittle any such act, no matter how small.",279,Twitter for Android
29,muftimenk,1448345565402632195,2021-10-13 17:51:06+00:00,"Remember, the Almighty can see the road more clearly than we can. He is in complete control of every aspect of our existence. So when He shows us the signs to move on, do it. Trust Him. Keep praying for guidance. He is our best Guardian and Protector.",251,Twitter for Android
30,muftimenk,1448243697607381000,2021-10-13 11:06:19+00:00,"Cultivate the habit of letting the Almighty deal with things beyond your control. Do your best and pray. When you pray, trust that He will work all things out for your own good. Then rest assured knowing that He wants only the best for you always.",247,Twitter for Android
31,muftimenk,1448164044670750723,2021-10-13 05:49:48+00:00,"Things won't always work out the way you planned so whenever they do, be grateful. Whenever they don’t, be even more grateful because the Almighty is saving you from things you do not know. Never take anything for granted. His Divine Wisdom is beyond our understanding. Trust Him.",280,Twitter for Android
32,muftimenk,1448056414065278976,2021-10-12 22:42:07+00:00,"There are some people who will purposely doubt your every move no matter how well intended. Leave them be. Stop over-explaining. If they’re bent on misunderstanding you, they will do so no matter what you say. Don’t fret. The Almighty knows your heart. That’s all that matters.",277,Twitter for Android
33,muftimenk,1447932692121722883,2021-10-12 14:30:29+00:00,"Stop doing things that bring negative energy into your life. Don’t listen to gossip, empty chatter etc. Connect with people who can motivate you &amp; bring on positivity. No matter how difficult it is, you must make a concerted effort to move on in your life in the best possible way",284,Twitter for Android
34,muftimenk,1447780086833352705,2021-10-12 04:24:05+00:00,"In life, you have to know when to shut out the noise. There will always be those who will falsely accuse you. Let the naysayers be. As long as you’ve done no wrong, be at peace. The Almighty knows. He will calm you and grant you contentment no matter what they say about you.",275,Twitter for Android
35,muftimenk,1447677741223055368,2021-10-11 21:37:24+00:00,"If you’re going through hard times now, remember it won’t last. You will become a better version of yourself because of what you endured. Hard times make you resilient. It may not feel so now but it will be worth it in the end. Just press on. Stopping is not an option.",269,Twitter for Android
36,muftimenk,1447666016914399246,2021-10-11 20:50:49+00:00,@QariZiyaadPatel True. I'm sure there are many others who serve in a similar way. Hidden gems. May Allah bless them all. Aameen,127,Twitter for Android
37,muftimenk,1447665707211272196,2021-10-11 20:49:35+00:00,"RT @QariZiyaadPatel: There is one scholar that I know for sure who has never charged a cent, penny, dime or dollar ever for any lecture or…",139,Twitter for Android
38,muftimenk,1447546695353516041,2021-10-11 12:56:40+00:00,"When you’re not trying to impress anyone but the Almighty, your whole life will take on a different perspective. Much of what you’ve been through will add a breath of fresh air to your life. Your habits, decisions, responses etc will change. You’re not worried what people think.",279,Twitter for Android
39,muftimenk,1447356571797921796,2021-10-11 00:21:11+00:00,Growth is quiet. It doesn’t shout. It’s humble and reassuring. You feel a deep sense of achievement  but you don’t seek validation. You feel a sense of calm. You know you gave it all you got; and you know that the Almighty knows. That’s good enough for you.,257,Twitter for Android
